"registration_day,""payment_day"",""source_id"",""sum_net"""
"2015-08-25,""2015-11-21"",1,7.38"
"2015-07-18,""2015-08-26"",2,0.49"
"2015-10-07,""2015-10-20"",2,0.62"
"2015-11-14,""2015-11-20"",1,33.47"
"2015-11-22,""2015-12-05"",2,0.54"
"2015-08-11,""2015-10-25"",2,15.44"
"2015-09-08,""2015-11-07"",1,0.7"
"2015-08-27,""2015-09-27"",2,0.91"
"2015-10-07,""2015-12-07"",2,7.42"
"2015-10-23,""2015-11-09"",2,15.97"
"2015-07-12,""2015-09-29"",2,1.09"
"2015-06-23,""2015-06-24"",2,9.1"
"2015-07-04,""2015-07-23"",2,5.34"
"2015-10-26,""2015-11-18"",2,61.43"
"2015-09-10,""2015-11-20"",2,7.1"
"2015-11-16,""2015-12-03"",2,8.56"
"2015-07-07,""2015-07-08"",2,110.94"
"2015-09-12,""2015-09-15"",2,15.72"
"2015-11-19,""2015-11-26"",2,34.18"
"2015-09-27,""2015-10-03"",1,15.63"
"2015-08-14,""2015-10-18"",2,8.46"
"2015-08-30,""2015-09-20"",2,21.15"
"2015-09-07,""2015-11-11"",2,5.09"
"2015-10-05,""2015-11-24"",1,8.03"
"2015-11-20,""2015-11-22"",1,5.53"
"2015-08-24,""2015-09-18"",2,21.36"
"2015-08-31,""2015-09-16"",1,9.13"
"2015-08-27,""2015-09-11"",2,27.36"
"2015-07-04,""2015-07-15"",2,8.47"
"2015-09-24,""2015-09-24"",1,250.86"
"2015-10-18,""2015-10-18"",1,437.69"
"2015-06-21,""2015-12-07"",2,6.32"
"2015-09-07,""2015-10-06"",2,3.94"
"2015-10-26,""2015-11-02"",2,41.38"
"2015-07-04,""2015-12-02"",2,1.15"
"2015-07-31,""2015-08-25"",2,94.09"
"2015-09-10,""2015-11-04"",2,0.47"
"2015-11-16,""2015-11-17"",2,403.28"
"2015-09-29,""2015-09-30"",2,26.67"
"2015-08-24,""2015-09-02"",2,3.38"
"2015-08-14,""2015-10-02"",2,26.89"
"2015-08-30,""2015-09-04"",2,25.32"
"2015-10-07,""2015-11-21"",2,12.6"
"2015-10-23,""2015-10-24"",2,172.27"
"2015-08-31,""2015-08-31"",1,135.05"
"2015-07-18,""2015-09-15"",2,23.15"
"2015-08-03,""2015-08-18"",2,-1.1"
"2015-09-05,""2015-12-04"",1,6.46"
"2015-10-01,""2015-12-05"",2,6.84"
"2015-10-09,""2015-10-22"",2,0.4"
"2015-09-16,""2015-09-24"",1,7.8"
"2015-08-08,""2015-11-21"",2,8.18"
"2015-10-15,""2015-10-24"",2,1.46"
"2015-08-14,""2015-11-23"",2,4.19"
"2015-06-23,""2015-07-06"",2,10.79"
"2015-08-03,""2015-10-09"",2,0.37"
"2015-11-08,""2015-11-17"",2,20.1"
"2015-10-16,""2015-10-20"",1,11.54"
"2015-09-26,""2015-10-23"",2,0.3"
"2015-10-24,""2015-11-25"",1,10.17"
"2015-07-01,""2015-09-04"",2,12.96"
"2015-06-21,""2015-10-04"",2,8.22"
"2015-08-27,""2015-10-17"",2,2.51"
"2015-10-12,""2015-10-15"",2,22.89"
"2015-08-11,""2015-11-14"",2,5.58"
"2015-11-05,""2015-11-08"",2,17.09"
"2015-07-15,""2015-10-28"",2,5.33"
"2015-09-29,""2015-10-12"",2,14.49"
"2015-09-27,""2015-11-08"",1,0.43"
"2015-10-18,""2015-11-23"",1,100.97"
"2015-08-19,""2015-08-26"",2,18.48"
"2015-06-29,""2015-07-16"",2,37.53"
"2015-10-21,""2015-11-16"",1,-0.01"
"2015-10-01,""2015-11-07"",2,12.81"
"2015-07-20,""2015-07-31"",2,8.24"
"2015-09-15,""2015-10-02"",2,15.41"
"2015-09-05,""2015-11-18"",1,7.61"
"2015-09-12,""2015-10-05"",2,0.6"
"2015-07-04,""2015-08-28"",2,11.87"
"2015-09-21,""2015-10-21"",1,8.3"
"2015-07-23,""2015-08-09"",2,6.67"
"2015-09-18,""2015-09-21"",2,56.58"
"2015-09-07,""2015-12-01"",2,6.21"
"2015-06-21,""2015-06-22"",2,45.48"
"2015-08-16,""2015-08-17"",2,189.69"
"2015-07-26,""2015-11-26"",2,6.73"
"2015-09-10,""2015-09-29"",2,53.5"
"2015-11-16,""2015-12-07"",2,1.39"
"2015-10-24,""2015-11-09"",1,11.98"
"2015-08-30,""2015-10-10"",2,13.42"
"2015-09-27,""2015-10-23"",1,3.33"
"2015-08-14,""2015-11-07"",2,12.13"
"2015-07-26,""2015-08-02"",2,110.6"
"2015-09-29,""2015-10-16"",2,20.67"
"2015-09-24,""2015-10-06"",1,19.59"
"2015-09-02,""2015-09-02"",1,117.41"
"2015-07-20,""2015-09-17"",2,0.85"
"2015-07-26,""2015-09-19"",2,5.53"
"2015-10-13,""2015-11-12"",1,20.93"
"2015-09-10,""2015-09-17"",2,58.85"
"2015-10-04,""2015-10-11"",2,78.02"
"2015-09-23,""2015-09-28"",2,13.05"
"2015-07-15,""2015-08-05"",2,17.18"
"2015-09-04,""2015-09-07"",2,0.04"
"2015-11-06,""2015-12-06"",1,7.1"
"2015-09-07,""2015-09-08"",2,35.91"
"2015-09-23,""2015-10-10"",2,10.61"
"2015-08-22,""2015-10-06"",2,0.21"
"2015-08-08,""2015-08-13"",2,25.79"
"2015-07-12,""2015-11-20"",2,0.06"
"2015-08-16,""2015-10-04"",2,12.09"
"2015-07-24,""2015-09-06"",1,8.72"
"2015-06-21,""2015-07-12"",2,26.94"
"2015-08-11,""2015-08-22"",2,6.36"
"2015-10-04,""2015-10-23"",2,42.35"
"2015-07-12,""2015-07-27"",2,3.27"
"2015-07-15,""2015-07-20"",2,25.3"
"2015-08-24,""2015-11-09"",2,10.7"
"2015-09-12,""2015-09-23"",2,14.79"
"2015-10-01,""2015-10-30"",2,16.85"
"2015-10-15,""2015-11-09"",2,14.79"
"2015-11-08,""2015-12-03"",2,1.74"
"2015-10-16,""2015-11-05"",1,20.43"
"2015-08-19,""2015-09-27"",2,1.3"
"2015-08-14,""2015-08-15"",2,368.81"
"2015-09-23,""2015-12-05"",2,7.47"
"2015-10-12,""2015-10-31"",2,3.88"
"2015-09-19,""2015-10-03"",1,4.28"
"2015-08-11,""2015-11-30"",2,6.44"
"2015-11-05,""2015-12-06"",2,0.2"
"2015-10-10,""2015-10-18"",1,0.7"
"2015-07-31,""2015-10-16"",2,5.12"
"2015-07-26,""2015-09-03"",2,10.19"
"2015-07-15,""2015-11-13"",2,6.5"
"2015-11-11,""2015-11-26"",2,21.26"
"2015-06-26,""2015-08-08"",2,6.61"
"2015-08-16,""2015-09-18"",2,6.41"
"2015-09-13,""2015-10-01"",1,71.27"
"2015-10-01,""2015-10-22"",2,0.38"
"2015-07-15,""2015-09-02"",2,37.13"
"2015-08-30,""2015-08-31"",2,51.2"
"2015-09-02,""2015-09-30"",1,4.85"
"2015-09-04,""2015-10-09"",2,12"
"2015-07-04,""2015-07-19"",2,0.4"
"2015-08-08,""2015-09-26"",2,9.57"
"2015-09-05,""2015-10-09"",1,1.74"
"2015-11-12,""2015-11-14"",1,1.79"
"2015-10-04,""2015-11-08"",2,5.96"
"2015-10-04,""2015-10-19"",2,23.56"
"2015-09-18,""2015-12-06"",2,4.79"
"2015-09-23,""2015-11-11"",2,4.7"
"2015-10-07,""2015-11-01"",2,5.2"
"2015-11-24,""2015-12-03"",2,3.35"
"2015-09-26,""2015-10-27"",2,0.27"
"2015-10-28,""2015-11-16"",2,0.39"
"2015-10-05,""2015-10-19"",1,12.05"
"2015-07-04,""2015-08-08"",2,7.7"
"2015-10-21,""2015-10-27"",1,16.61"
"2015-07-01,""2015-07-10"",2,23.16"
"2015-10-31,""2015-11-25"",2,5.55"
"2015-10-12,""2015-10-27"",2,0.69"
"2015-07-07,""2015-07-12"",2,6.66"
"2015-08-16,""2015-11-01"",2,7.72"
"2015-09-15,""2015-09-28"",2,0.32"
"2015-08-11,""2015-09-19"",2,4.1"
"2015-09-26,""2015-10-19"",2,0.38"
"2015-10-09,""2015-12-05"",2,0.44"
"2015-08-14,""2015-09-12"",2,7.28"
"2015-11-01,""2015-11-05"",1,45.9"
"2015-09-04,""2015-11-06"",2,4.44"
"2015-07-15,""2015-08-17"",2,4.99"
"2015-08-24,""2015-12-07"",2,5.88"
"2015-09-12,""2015-11-18"",2,7.22"
"2015-12-01,""2015-12-01"",1,182.5"
"2015-07-12,""2015-08-08"",2,6.25"
"2015-09-19,""2015-11-04"",1,13.14"
"2015-08-16,""2015-10-16"",2,18.21"
"2015-10-07,""2015-10-16"",2,32.13"
"2015-10-31,""2015-11-09"",2,3.7"
"2015-10-08,""2015-10-12"",1,1.44"
"2015-10-15,""2015-12-07"",2,8.17"
"2015-09-08,""2015-09-16"",1,84.68"
"2015-07-31,""2015-11-13"",2,8.3"
"2015-09-07,""2015-09-28"",2,6.43"
"2015-07-18,""2015-08-14"",2,90.34"
"2015-10-26,""2015-11-14"",2,14.86"
"2015-11-16,""2015-11-29"",2,0.43"
"2015-10-24,""2015-11-01"",1,104.81"
"2015-07-26,""2015-11-18"",2,6.96"
"2015-07-01,""2015-08-11"",2,0.5"
"2015-09-07,""2015-10-18"",2,7.42"
"2015-08-14,""2015-10-30"",2,22.49"
"2015-10-20,""2015-11-12"",2,5.24"
"2015-11-17,""2015-11-25"",1,1.11"
"2015-10-05,""2015-11-20"",1,1.88"
"2015-10-23,""2015-11-05"",2,38.12"
"2015-10-08,""2015-12-07"",1,9.83"
"2015-08-03,""2015-08-30"",2,4.02"
"2015-08-31,""2015-09-12"",1,19.04"
"2015-07-23,""2015-11-09"",2,14.77"
"2015-08-27,""2015-09-23"",2,0.4"
"2015-11-14,""2015-11-16"",1,21.92"
"2015-08-11,""2015-10-21"",2,5.15"
"2015-06-29,""2015-10-24"",2,0.43"
"2015-08-25,""2015-09-10"",1,10.9"
"2015-11-22,""2015-12-01"",2,4.64"
"2015-07-12,""2015-09-25"",2,0.77"
"2015-07-31,""2015-08-21"",2,21.46"
"2015-07-20,""2015-10-31"",2,4.89"
"2015-10-02,""2015-10-06"",1,8.06"
"2015-07-01,""2015-07-26"",2,9.57"
"2015-09-10,""2015-10-31"",2,8.94"
"2015-10-26,""2015-10-29"",2,2.04"
"2015-11-19,""2015-11-22"",2,4.11"
"2015-10-04,""2015-12-06"",2,4.04"
"2015-08-24,""2015-09-14"",2,14.62"
"2015-09-21,""2015-09-27"",1,31.12"
"2015-08-30,""2015-09-16"",2,4.84"
"2015-09-27,""2015-09-29"",1,40.99"
"2015-06-29,""2015-10-16"",2,0.88"
"2015-09-26,""2015-10-11"",2,0.1"
"2015-10-04,""2015-11-20"",2,1.78"
"2015-08-25,""2015-08-25"",1,207.71"
"2015-08-03,""2015-08-14"",2,9.01"
"2015-07-23,""2015-10-24"",2,0.35"
"2015-10-28,""2015-12-02"",2,6.63"
"2015-07-18,""2015-09-23"",2,0.32"
"2015-10-01,""2015-11-15"",2,1.58"
"2015-10-12,""2015-10-19"",2,84.34"
"2015-09-26,""2015-10-03"",2,11.4"
"2015-07-18,""2015-07-29"",2,1.81"
"2015-07-12,""2015-09-09"",2,3.19"
"2015-08-27,""2015-09-07"",2,3.93"
"2015-08-16,""2015-11-17"",2,5.47"
"2015-10-20,""2015-10-27"",2,0.7"
"2015-11-08,""2015-11-13"",2,47.01"
"2015-10-16,""2015-10-16"",1,402.28"
"2015-10-24,""2015-12-07"",1,41.9"
"2015-12-02,""2015-12-07"",2,17.28"
"2015-09-24,""2015-11-11"",1,19.79"
"2015-07-23,""2015-08-21"",2,13.91"
"2015-08-20,""2015-09-03"",1,5.99"
"2015-10-04,""2015-10-27"",2,5.7"
"2015-09-15,""2015-09-24"",2,21.92"
"2015-08-14,""2015-11-19"",2,1"
"2015-08-30,""2015-10-22"",2,0.22"
"2015-10-18,""2015-11-19"",1,12.45"
"2015-08-16,""2015-08-29"",2,19.31"
"2015-10-26,""2015-12-04"",2,0.56"
"2015-09-04,""2015-12-04"",2,9.71"
"2015-11-05,""2015-11-20"",2,8.29"
"2015-08-08,""2015-11-17"",2,12.35"
"2015-09-05,""2015-11-30"",1,-0.08"
"2015-08-24,""2015-10-20"",2,8.24"
"2015-09-12,""2015-10-01"",2,44.64"
"2015-08-19,""2015-09-07"",2,14.16"
"2015-09-16,""2015-09-20"",1,1.53"
"2015-07-18,""2015-08-02"",2,102.21"
"2015-10-15,""2015-10-20"",2,8.16"
"2015-09-21,""2015-11-02"",1,3.77"
"2015-10-09,""2015-11-03"",2,1.47"
"2015-07-12,""2015-10-15"",2,11.58"
"2015-07-23,""2015-08-05"",2,9.39"
"2015-06-23,""2015-07-10"",2,14.05"
"2015-10-21,""2015-10-23"",1,12.63"
"2015-10-23,""2015-11-25"",2,1.81"
"2015-09-10,""2015-12-06"",2,0.38"
"2015-07-18,""2015-08-30"",2,10.9"
"2015-08-11,""2015-11-10"",2,6.57"
"2015-07-18,""2015-08-06"",2,5.39"
"2015-08-22,""2015-08-31"",2,10.14"
"2015-10-20,""2015-11-16"",2,19.55"
"2015-07-31,""2015-09-10"",2,0.59"
"2015-10-12,""2015-10-23"",2,5.59"
"2015-07-26,""2015-07-29"",2,126.3"
"2015-10-21,""2015-11-12"",1,7.03"
"2015-10-07,""2015-11-13"",2,10.13"
"2015-07-18,""2015-10-17"",2,9.47"
"2015-08-03,""2015-09-19"",2,5.39"
"2015-06-29,""2015-06-30"",2,37.55"
"2015-09-18,""2015-10-07"",2,5.81"
"2015-07-04,""2015-08-24"",2,5.18"
"2015-08-14,""2015-08-27"",2,37.11"
"2015-09-04,""2015-09-11"",2,20.07"
"2015-08-24,""2015-11-21"",2,9.73"
"2015-09-12,""2015-10-09"",2,10.56"
"2015-08-19,""2015-10-09"",2,7.84"
"2015-07-23,""2015-09-22"",2,56.98"
"2015-10-28,""2015-10-31"",2,10.86"
"2015-07-12,""2015-12-02"",2,10.31"
"2015-09-05,""2015-09-07"",1,54.69"
"2015-08-16,""2015-09-30"",2,0.42"
"2015-09-13,""2015-10-13"",1,49.48"
"2015-07-15,""2015-11-25"",2,7.08"
"2015-08-11,""2015-08-18"",2,131.32"
"2015-07-12,""2015-07-23"",2,29.06"
"2015-09-10,""2015-10-27"",2,0.65"
"2015-10-15,""2015-11-21"",2,1.47"
"2015-11-12,""2015-12-04"",1,33.89"
"2015-07-20,""2015-09-13"",2,10.29"
"2015-07-26,""2015-09-15"",2,26.96"
"2015-09-10,""2015-09-13"",2,29.41"
"2015-11-08,""2015-11-29"",2,0.24"
"2015-08-19,""2015-09-23"",2,9.71"
"2015-07-18,""2015-07-25"",2,106.19"
"2015-10-12,""2015-11-12"",2,0.74"
"2015-06-21,""2015-11-01"",2,9.39"
"2015-08-08,""2015-08-09"",2,189.12"
"2015-07-07,""2015-07-24"",2,7.01"
"2015-09-12,""2015-10-17"",2,6.74"
"2015-07-26,""2015-08-30"",2,0.65"
"2015-12-03,""2015-12-03"",1,215.17"
"2015-11-11,""2015-11-22"",2,10.23"
"2015-08-16,""2015-09-14"",2,22.47"
"2015-07-15,""2015-07-16"",2,-109.01"
"2015-08-24,""2015-11-05"",2,12.37"
"2015-08-14,""2015-12-05"",2,6.83"
"2015-10-04,""2015-10-07"",2,22.4"
"2015-08-30,""2015-11-07"",2,9.44"
"2015-10-15,""2015-11-05"",2,15.41"
"2015-08-24,""2015-08-25"",2,60.93"
"2015-11-03,""2015-11-30"",2,10.91"
"2015-09-05,""2015-10-05"",1,60.77"
"2015-10-09,""2015-11-19"",2,11.56"
"2015-10-04,""2015-11-04"",2,10.94"
"2015-06-23,""2015-09-04"",2,7.13"
"2015-10-15,""2015-11-25"",2,2.79"
"2015-07-24,""2015-07-24"",1,13.14"
"2015-08-03,""2015-08-10"",2,10.82"
"2015-07-23,""2015-10-20"",2,3.94"
"2015-10-28,""2015-11-28"",2,27.32"
"2015-07-26,""2015-10-13"",2,1.38"
"2015-07-01,""2015-07-06"",2,20.95"
"2015-10-31,""2015-11-21"",2,0.93"
"2015-10-08,""2015-10-24"",1,14.89"
"2015-06-21,""2015-08-05"",2,6.18"
"2015-08-16,""2015-10-28"",2,0.16"
"2015-08-11,""2015-09-15"",2,5.37"
"2015-07-15,""2015-08-29"",2,20.69"
"2015-08-03,""2015-12-04"",2,0.95"
"2015-10-09,""2015-10-10"",2,48.71"
"2015-08-19,""2015-11-06"",2,7.98"
"2015-09-12,""2015-11-06"",2,16.48"
"2015-07-31,""2015-08-01"",2,450.22"
"2015-07-20,""2015-10-11"",2,1.05"
"2015-10-10,""2015-11-27"",1,14.95"
"2015-09-05,""2015-09-19"",1,6.94"
"2015-09-18,""2015-10-23"",2,13.72"
"2015-09-12,""2015-11-14"",2,24.73"
"2015-09-18,""2015-11-16"",2,3.34"
"2015-11-03,""2015-11-14"",2,4.45"
"2015-10-07,""2015-10-28"",2,0.47"
"2015-07-12,""2015-08-20"",2,2.65"
"2015-09-07,""2015-10-02"",2,5.13"
"2015-11-25,""2015-11-25"",1,134.97"
"2015-06-21,""2015-11-29"",2,4.7"
"2015-09-10,""2015-09-25"",2,35.57"
"2015-10-08,""2015-10-08"",1,84.18"
"2015-09-10,""2015-10-23"",2,28.49"
"2015-10-01,""2015-10-10"",2,6.6"
"2015-09-08,""2015-09-12"",1,54.86"
"2015-08-30,""2015-12-05"",2,9.24"
"2015-10-01,""2015-12-01"",2,0.19"
"2015-11-05,""2015-11-28"",2,8.52"
"2015-11-24,""2015-11-29"",2,0.52"
"2015-11-01,""2015-11-01"",1,117.54"
"2015-08-24,""2015-12-03"",2,6.85"
"2015-11-30,""2015-12-01"",2,212.57"
"2015-10-05,""2015-10-27"",1,11.26"
"2015-07-15,""2015-08-13"",2,20.97"
"2015-09-19,""2015-10-07"",1,31.71"
"2015-08-14,""2015-10-26"",2,0.48"
"2015-11-05,""2015-11-24"",2,1.48"
"2015-11-19,""2015-12-04"",2,13.87"
